beta,slope,DeltaQ,ratio_wfast_wslow,log10_ratio
8.0,0.26,0.0025500000000000037,3.264029174765874e-08,-7.486245968060577
8.0,0.2991666666666667,0.013500347222222306,1.500645350904195e-08,-7.823721932902629
8.0,0.3383333333333333,0.02598472222222223,6.939482226605652e-09,-8.158672932213268
8.0,0.3775,0.04000312500000012,3.224210208061972e-09,-8.491576651350407
8.0,0.41666666666666663,0.05555555555555552,1.5035700722743779e-09,-8.822876327262193
8.0,0.4558333333333333,0.07264201388888894,7.030983715966839e-10,-9.15298390790648
8.0,0.495,0.0912624999999998,3.2939510271855587e-10,-9.482282861991152
8.0,0.5341666666666667,0.11141701388888892,1.544789524906777e-10,-9.811130684134545
8.0,0.5733333333333333,0.13310555555555564,7.246676361875769e-11,-10.139861133933554
8.0,0.6125,0.15632812499999998,3.397924760112284e-11,-10.468786241897174
8.0,0.6516666666666666,0.18108472222222155,1.5914825805276892e-11,-10.798198110559852
8.0,0.6908333333333333,0.20737534722222262,7.440968479261722e-12,-11.128370535176423
8.0,0.73,0.2351999999999997,3.470879488505568e-12,-11.459560465091373
8.0,0.7691666666666667,0.2645586805555561,1.614323897792453e-12,-11.792009324067907
8.0,0.8083333333333332,0.2954513888888889,7.482656252546344e-13,-12.12594420547205
8.0,0.8474999999999999,0.32787812499999974,3.454785147366814e-13,-12.4615789561666
8.0,0.8866666666666666,0.36183888888888915,1.588125571862532e-13,-12.79911516122196
8.0,0.9258333333333333,0.3973336805555553,7.265357012304212e-14,-13.138743040049489
8.0,0.965,0.4343625,3.3064178490161916e-14,-13.480642263270651
8.0,1.0041666666666664,0.4729253472222228,1.4962952645185844e-14,-13.824982698518161
8.0,1.0433333333333332,0.5130222222222225,6.730927420662734e-15,-14.171925092399073
8.0,1.0825,0.5546531249999985,3.0086959746641915e-15,-14.521621695010516
8.0,1.1216666666666666,0.597818055555556,1.3359283534860078e-15,-14.874216832668882
8.0,1.1608333333333332,0.6425170138888885,5.890505503984752e-16,-15.229847433876584
8.0,1.2,0.6887499999999994,2.578436776926476e-16,-15.588643512994356
8.25,0.26,0.0025500000000000037,1.9061405653645718e-08,-7.719845076147207
8.25,0.2991666666666667,0.013500347222222306,8.582602200765108e-09,-8.066381016336344
8.25,0.3383333333333333,0.02598472222222223,3.889511929650046e-09,-8.410104892134026
8.25,0.3775,0.04000312500000012,1.7721100290949942e-09,-8.751509316565613
8.25,0.41666666666666663,0.05555555555555552,8.108651255343968e-10,-9.091051377733873
8.25,0.4558333333333333,0.07264201388888894,3.7225805426815793e-10,-9.429155896970345
8.25,0.495,0.0912624999999998,1.7130958918853492e-10,-9.766218326380034
8.25,0.5341666666666667,0.11141701388888892,7.895736886800193e-11,-10.1026073322881
8.25,0.5733333333333333,0.13310555555555564,3.641940914817536e-11,-10.43866710427884
8.25,0.6125,0.15632812499999998,1.6798889607942438e-11,-10.774719423814657
8.25,0.6516666666666666,0.18108472222222155,7.743449642320542e-12,-11.111065521634195
8.25,0.6908333333333333,0.20737534722222262,3.5646118861022925e-12,-11.447987749094006
8.25,0.73,0.2351999999999997,1.6377549276137958e-12,-11.785751085205588
8.25,0.7691666666666667,0.2645586805555561,7.505774314102581e-13,-12.124604498224754
8.25,0.8083333333333332,0.2954513888888889,3.4293974596826965e-13,-12.464782178185212
8.25,0.8474999999999999,0.32787812499999974,1.5613323038943624e-13,-12.80650465466422
8.25,0.8866666666666666,0.36183888888888915,7.079786932840051e-14,-13.14997981226563
8.25,0.9258333333333333,0.3973336805555553,3.195922102339536e-14,-13.495403814757415
8.25,0.965,0.4343625,1.4356152152897955e-14,-13.842961947467955
8.25,1.0041666666666664,0.4729253472222228,6.414615267586283e-15,-14.192829386393482
8.25,1.0433333333333332,0.5130222222222225,2.849890007123924e-15,-14.545171901472527
8.25,1.0825,0.5546531249999985,1.2585008099301037e-15,-14.900146500617755
8.25,1.1216666666666666,0.597818055555556,5.522020055892791e-16,-15.257902020342943
8.25,1.1608333333333332,0.6425170138888885,2.4066909885839135e-16,-15.618579668166197
8.25,1.2,0.6887499999999994,1.0415652418740001e-16,-15.982313521397035
8.5,0.26,0.0025500000000000037,1.1131554469604476e-08,-7.953444184233827
8.5,0.2991666666666667,0.013500347222222306,4.908625511830402e-09,-8.309040099770048
8.5,0.3383333333333333,0.02598472222222223,2.1800334026202884e-09,-8.661536852054782
8.5,0.3775,0.04000312500000012,9.739978948539832e-10,-9.011441981780816
8.5,0.41666666666666663,0.05555555555555552,4.3729405362089043e-10,-9.35922642820555
8.5,0.4558333333333333,0.07264201388888894,1.9709341475620395e-10,-9.705327886034205
8.5,0.495,0.0912624999999998,8.909353874948063e-11,-10.050153790768915
8.5,0.5341666666666667,0.11141701388888892,4.0356734675126856e-11,-10.394083980441652
8.5,0.5733333333333333,0.13310555555555564,1.8303195788902216e-11,-10.737473074624122
8.5,0.6125,0.15632812499999998,8.305148347384688e-12,-11.080652605732132
8.5,0.6516666666666666,0.18108472222222155,3.7676197714506976e-12,-11.423932932708531
8.5,0.6908333333333333,0.20737534722222262,1.7076349582658944e-12,-11.767604963011584
8.5,0.73,0.2351999999999997,7.727843077830809e-13,-12.1119417053198
8.5,0.7691666666666667,0.2645586805555561,3.489798306974295e-13,-12.457199672381595
8.5,0.8083333333333332,0.2954513888888889,1.5717368992429927e-13,-12.803620150898366
8.5,0.8474999999999999,0.32787812499999974,7.056179933626706e-14,-13.151430353161834
8.5,0.8866666666666666,0.36183888888888915,3.15613474793613e-14,-13.500844463309303
8.5,0.9258333333333333,0.3973336805555553,1.4058384284385162e-14,-13.852064589465336
8.5,0.965,0.4343625,6.2333048649155545e-15,-14.205281631665246
8.5,1.0041666666666664,0.4729253472222228,2.749944480001432e-15,-14.560676074268798
8.5,1.0433333333333332,0.5130222222222225,1.206649922828193e-15,-14.918418710545978
8.5,1.0825,0.5546531249999985,5.264155308252854e-16,-15.278671306224986
8.5,1.1216666666666666,0.597818055555556,2.2825105416854575e-16,-15.641587208016992
8.5,1.1608333333333332,0.6425170138888885,9.833046604595873e-17,-16.007311902455807
8.5,1.2,0.6887499999999994,4.2074258433950135e-17,-16.37598352979971
8.75,0.26,0.0025500000000000037,6.500648858814311e-09,-8.187043292320457
8.75,0.2991666666666667,0.013500347222222306,2.8073775122938394e-09,-8.551699183203763
8.75,0.3383333333333333,0.02598472222222223,1.2218874045124117e-09,-8.912968811975542
8.75,0.3775,0.04000312500000012,5.353346483031144e-10,-9.27137464699602
8.75,0.41666666666666663,0.05555555555555552,2.358297123780754e-10,-9.62740147867723
8.75,0.4558333333333333,0.07264201388888894,1.0435184328416891e-10,-9.98149987509807
8.75,0.495,0.0912624999999998,4.6335168302630206e-11,-10.334089255157796
8.75,0.5341666666666667,0.11141701388888892,2.0627156869440624e-11,-10.685560628595207
8.75,0.5733333333333333,0.13310555555555564,9.198583500459316e-12,-11.036279044969406
8.75,0.6125,0.15632812499999998,4.10595525548634e-12,-11.386585787649611
8.75,0.6516666666666666,0.18108472222222155,1.8331569775628048e-12,-11.736800343782871
8.75,0.6908333333333333,0.20737534722222262,8.180461839508272e-13,-12.087222176929165
8.75,0.73,0.2351999999999997,3.6464282676644633e-13,-12.438132325434019
8.75,0.7691666666666667,0.2645586805555561,1.6225763943472e-13,-12.789794846538447
8.75,0.8083333333333332,0.2954513888888889,7.203472066111902e-14,-13.142458123611526
8.75,0.8474999999999999,0.32787812499999974,3.188922379401699e-14,-13.49635605165945
8.75,0.8866666666666666,0.36183888888888915,1.4069895946902363e-14,-13.851709114352975
8.75,0.9258333333333333,0.3973336805555553,6.1840734022511445e-15,-14.208725364173263
8.75,0.965,0.4343625,2.70644174881743e-15,-14.567601315862555
8.75,1.0041666666666664,0.4729253472222228,1.1789007333460414e-15,-14.928522762144123
8.75,1.0433333333333332,0.5130222222222225,5.108983268202186e-16,-15.291665519619432
8.75,1.0825,0.5546531249999985,2.201931924934174e-16,-15.657196111832228
8.75,1.1216666666666666,0.597818055555556,9.434689335011562e-17,-16.025272395691047
8.75,1.1608333333333332,0.6425170138888885,4.0174997948134995e-17,-16.39604413674542
8.75,1.2,0.6887499999999994,1.6995989800713293e-17,-16.76965353820239
9.0,0.26,0.0025500000000000037,3.7962744287865515e-09,-8.420642400407083
9.0,0.2991666666666667,0.013500347222222306,1.6056161704611966e-09,-8.794358266637472
9.0,0.3383333333333333,0.02598472222222223,6.848559418913299e-10,-9.1644007718963
9.0,0.3775,0.04000312500000012,2.942338861181834e-10,-9.531307312211226
9.0,0.41666666666666663,0.05555555555555552,1.2718136178577228e-10,-9.895576529148913
9.0,0.4558333333333333,0.07264201388888894,5.524947249137308e-11,-10.257671864161937
9.0,0.495,0.0912624999999998,2.4097682635213007e-11,-10.618024719546682
9.0,0.5341666666666667,0.11141701388888892,1.0542963992048352e-11,-10.977037276748764
9.0,0.5733333333333333,0.13310555555555564,4.622905168627787e-12,-11.335085015314693
9.0,0.6125,0.15632812499999998,2.029929852531132e-12,-11.692518969567093
9.0,0.6516666666666666,0.18108472222222155,8.919330262175708e-13,-12.049667754857214
9.0,0.6908333333333333,0.20737534722222262,3.918867764080412e-13,-12.406839390846752
9.0,0.73,0.2351999999999997,1.720588652914864e-13,-12.764322945548239
9.0,0.7691666666666667,0.2645586805555561,7.544144170828696e-14,-13.122390020695294
9.0,0.8083333333333332,0.2954513888888889,3.301443761500201e-14,-13.481296096324686
9.0,0.8474999999999999,0.32787812499999974,1.44118007725211e-14,-13.841281750157073
9.0,0.8866666666666666,0.36183888888888915,6.272291513729258e-15,-14.20257376539665
9.0,0.9258333333333333,0.3973336805555553,2.7202815822090454e-15,-14.56538613888119
9.0,0.965,0.4343625,1.1751112930429862e-15,-14.92992100005986
9.0,1.0041666666666664,0.4729253472222228,5.053945449411839e-16,-15.296369450019444
9.0,1.0433333333333332,0.5130222222222225,2.163155157180262e-16,-15.664912328692889
9.0,1.0825,0.5546531249999985,9.210412531794289e-17,-16.035720917439466
9.0,1.1216666666666666,0.597818055555556,3.8998007335576273e-17,-16.40895758336511
9.0,1.1608333333333332,0.6425170138888885,1.6414347709673797e-17,-16.784776371035033
9.0,1.2,0.6887499999999994,6.865567690501788e-18,-17.16332354660507
9.25,0.26,0.0025500000000000037,2.2169632373109584e-09,-8.654241508493707
9.25,0.2991666666666667,0.013500347222222306,9.182959098151616e-10,-9.037017350071178
9.25,0.3383333333333333,0.02598472222222223,3.838550585035538e-10,-9.415832731817053
9.25,0.3775,0.04000312500000012,1.617186184653407e-10,-9.791239977426429
9.25,0.41666666666666663,0.05555555555555552,6.858804440957123e-11,-10.163751579620588
9.25,0.4558333333333333,0.07264201388888894,2.925203920224519e-11,-10.533843853225797
9.25,0.495,0.0912624999999998,1.2532560680361224e-11,-10.901960183935556
9.25,0.5341666666666667,0.11141701388888892,5.388725670783382e-12,-11.26851392490231
9.25,0.5733333333333333,0.13310555555555564,2.3233199108383014e-12,-11.633890985659974
9.25,0.6125,0.15632812499999998,1.0035704117065484e-12,-11.998452151484571
9.25,0.6516666666666666,0.18108472222222155,4.339751221498345e-13,-12.362535165931554
9.25,0.6908333333333333,0.20737534722222262,1.8773419953111332e-13,-12.726456604764326
9.25,0.73,0.2351999999999997,8.118698888969509e-14,-13.09051356566245
9.25,0.7691666666666667,0.2645586805555561,3.507638313273185e-14,-13.454985194852137
9.25,0.8083333333333332,0.2954513888888889,1.5130940760670783e-14,-13.820134069037845
9.25,0.8474999999999999,0.32787812499999974,6.513172062400937e-15,-14.186207448654686
9.25,0.8866666666666666,0.36183888888888915,2.7961571984377314e-15,-14.553438416440315
9.25,0.9258333333333333,0.3973336805555553,1.1966112633482177e-15,-14.922046913589112
9.25,0.965,0.4343625,5.102221585373384e-16,-15.292240684257152
9.25,1.0041666666666664,0.4729253472222228,2.1666255591456637e-16,-15.664216137894758
9.25,1.0433333333333332,0.5130222222222225,9.158848225553604e-17,-16.038159137766336
9.25,1.0825,0.5546531249999985,3.8526031638498774e-17,-16.414245723046697
9.25,1.1216666666666666,0.597818055555556,1.6119710168960528e-17,-16.792642771039162
9.25,1.1608333333333332,0.6425170138888885,6.7064299812014485e-18,-17.173508605324642
9.25,1.2,0.6887499999999994,2.7733612614244152e-18,-17.556993555007747
9.5,0.26,0.0025500000000000037,1.2946708905760522e-09,-8.88784061658034
9.5,0.2991666666666667,0.013500347222222306,5.251986081710958e-10,-9.2796764335049
9.5,0.3383333333333333,0.02598472222222223,2.15147006729397e-10,-9.667264691737822
9.5,0.3775,0.04000312500000012,8.888477089900236e-11,-10.05117264264164
9.5,0.41666666666666663,0.05555555555555552,3.698906639994387e-11,-10.43192663009227
9.5,0.4558333333333333,0.07264201388888894,1.5487601218695462e-11,-10.810015842289665
9.5,0.495,0.0912624999999998,6.5178498523927565e-12,-11.185895648324445
9.5,0.5341666666666667,0.11141701388888892,2.7542884882145014e-12,-11.559990573055872
9.5,0.5733333333333333,0.13310555555555564,1.1676240829529643e-12,-11.932696956005266
9.5,0.6125,0.15632812499999998,4.961519088933067e-13,-12.30438533340206
9.5,0.6516666666666666,0.18108472222222155,2.1115308112721343e-13,-12.675402577005903
9.5,0.6908333333333333,0.20737534722222262,8.993447035041034e-14,-13.046073818681915
9.5,0.73,0.2351999999999997,3.830855884007408e-14,-13.416704185776675
9.5,0.7691666666666667,0.2645586805555561,1.6308710780364366e-14,-13.787580369008989
9.5,0.8083333333333332,0.2954513888888889,6.93470447604689e-15,-14.15897204175101
9.5,0.8474999999999999,0.32787812499999974,2.9435190635804404e-15,-14.531133147152312
9.5,0.8866666666666666,0.36183888888888915,1.2465133454434025e-15,-14.904303067483992
9.5,0.9258333333333333,0.3973336805555553,5.263714333605818e-16,-15.278707688297047
9.5,0.965,0.4343625,2.2153361354256273e-16,-15.654560368454467
9.5,1.0041666666666664,0.4729253472222228,9.288320106599876e-17,-16.03206282577009
9.5,1.0433333333333332,0.5130222222222225,3.877877208219746e-17,-16.4114059468398
9.5,1.0825,0.5546531249999985,1.611496888643073e-17,-16.792770528653943
9.5,1.1216666666666666,0.597818055555556,6.663034182626971e-18,-17.176327958713223
9.5,1.1608333333333332,0.6425170138888885,2.7400542432916183e-18,-17.562240839614265
9.5,1.2,0.6887499999999994,1.120305418736211e-18,-17.95066356341043
9.75,0.26,0.0025500000000000037,7.560669869014697e-10,-9.121439724666962
9.75,0.2991666666666667,0.013500347222222306,3.003754836285713e-10,-9.522335516938602
9.75,0.3383333333333333,0.02598472222222223,1.205877934371218e-10,-9.918696651658575
9.75,0.3775,0.04000312500000012,4.885338851359026e-11,-10.31110530785684
9.75,0.41666666666666663,0.05555555555555552,1.9947952225746058e-11,-10.700101680563947
9.75,0.4558333333333333,0.07264201388888894,8.199968209085806e-12,-11.086187831353524
9.75,0.495,0.0912624999999998,3.3897595058053785e-12,-11.469831112713326
9.75,0.5341666666666667,0.11141701388888892,1.4077734773995863e-12,-11.851467221209422
9.75,0.5733333333333333,0.13310555555555564,5.868094155831801e-13,-12.231502926350545
9.75,0.6125,0.15632812499999998,2.452909271008499e-13,-12.610318515319532
9.75,0.6516666666666666,0.18108472222222155,1.0273774093005155e-13,-12.988269988080237
9.75,0.6908333333333333,0.20737534722222262,4.308330063147864e-14,-13.365691032599495
9.75,0.73,0.2351999999999997,1.807611909831185e-14,-13.742894805890888
9.75,0.7691666666666667,0.2645586805555561,7.58271017599253e-15,-14.12017554316583
9.75,0.8083333333333332,0.2954513888888889,3.1782641232133284e-15,-14.497810014464164
9.75,0.8474999999999999,0.32787812499999974,1.330274157453761e-15,-14.87605884564992
9.75,0.8866666666666666,0.36183888888888915,5.556896161763269e-16,-15.25516771852766
9.75,0.9258333333333333,0.3973336805555553,2.315429365781057e-16,-15.63536846300497
9.75,0.965,0.4343625,9.618779017735826e-17,-16.016880052651757
9.75,1.0041666666666664,0.4729253472222228,3.981901258318462e-17,-16.399909513645405
9.75,1.0433333333333332,0.5130222222222225,1.6419020461627687e-17,-16.784652755913246
9.75,1.0825,0.5546531249999985,6.740694828042645e-18,-17.171295334261178
9.75,1.1216666666666666,0.597818055555556,2.754145332237069e-18,-17.560013146387274
9.75,1.1608333333333332,0.6425170138888885,1.1195072903505795e-18,-17.95097307390387
9.75,1.2,0.6887499999999994,4.525498530274897e-19,-18.344333571813106
10.0,0.26,0.0025500000000000037,4.4153096577920443e-10,-9.355038832753586
10.0,0.2991666666666667,0.013500347222222306,1.7179297462209525e-10,-9.764994600372312
10.0,0.3383333333333333,0.02598472222222223,6.7588279042727e-11,-10.170128611579328
10.0,0.3775,0.04000312500000012,2.6851096595295158e-11,-10.571037973072041
10.0,0.41666666666666663,0.05555555555555552,1.0757795119728974e-11,-10.968276731035624
10.0,0.4558333333333333,0.07264201388888894,4.3415037409958266e-12,-11.362359820417383
10.0,0.495,0.0912624999999998,1.7629233209445356e-12,-11.7537665771022
10.0,0.5341666666666667,0.11141701388888892,7.195419696048123e-13,-12.142943869362973
10.0,0.5733333333333333,0.13310555555555564,2.9491108931755797e-13,-12.530308896695827
10.0,0.6125,0.15632812499999998,1.2126858294710818e-13,-12.916251697237007
10.0,0.6516666666666666,0.18108472222222155,4.998763624505774e-14,-13.301137399154573
10.0,0.6908333333333333,0.20737534722222262,2.0639147437798027e-14,-13.685308246517069
10.0,0.73,0.2351999999999997,8.529323251767807e-15,-14.069085426005097
10.0,0.7691666666666667,0.2645586805555561,3.5255695184886998e-15,-14.452770717322673
10.0,0.8083333333333332,0.2954513888888889,1.4566392658542199e-15,-14.83664798717732
10.0,0.8474999999999999,0.32787812499999974,6.011951326847345e-16,-15.220984544147536
10.0,0.8866666666666666,0.36183888888888915,2.477237413100895e-16,-15.606032369571327
10.0,0.9258333333333333,0.3973336805555553,1.0185228164250812e-16,-15.99202923771289
10.0,0.965,0.4343625,4.176382460093706e-17,-16.379199736849056
10.0,1.0041666666666664,0.4729253472222228,1.7070403957903966e-17,-16.76775620152072
10.0,1.0433333333333332,0.5130222222222225,6.95185067613596e-18,-17.1578995649867
10.0,1.0825,0.5546531249999985,2.8195503872837393e-18,-17.54982013986841
10.0,1.1216666666666666,0.597818055555556,1.1384177693191106e-18,-17.943698334061324
10.0,1.1608333333333332,0.6425170138888885,4.573984534125525e-19,-18.33970530819348
10.0,1.2,0.6887499999999994,1.8280851458009897e-19,-18.73800358021578
